atletas.rodada_id,atletas.slug,atletas.clube.id.full.name,atletas.atleta_id,atletas.media_num,atletas.posicao_id,atletas.pontos_num,atletas.variacao_num,atletas.clube_id,atletas.apelido,atletas.nome,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.entrou_em_campo
1,isidro-pitta,RBB,108133,0,5,0,0,280,Isidro Pitta,Isidro Miguel Pitta Saldívar,7,6,I. Pitta,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,david-ricardo,BOT,108274,0,3,0,0,263,David Ricardo,David Ricardo Loiola da Silva,7,6,D. Ricardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,False
1,adonis-frias,SAN,108469,0,3,0,0,277,Adonis Frías,Adonis Uriel Frías,6,6,A. Frías,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,False
1,santi-moreno,FLU,108474,0,5,0,0,266,Santi Moreno,Santiago Moreno,4,6,S. Moreno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,False
1,aravena,GRE,108548,0,5,0,0,284,Aravena,Alexander Ernesto Aravena Guzmán,4,6,Aravena,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,False
1,tapia,SAO,108588,0,5,0,0,276,Tapia,Gonzalo Andrés Tapia Dubournais,6,6,Tapia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,False
1,garre,VAS,108671,0,4,0,0,267,Garré,Benjamín Antonio Garré,4,6,Garré,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,False
1,emiliano-martinez,PAL,108683,0,4,0,0,275,Emiliano Martínez,Emiliano Martínez Toranza,5,6,E. Martínez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,False
1,galeano,MIR,108713,0,5,0,0,2305,Galeano,Antonio Javier Galeano Ferreira,8,6,Galeano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,False
1,plata,FLA,109096,0,5,0,0,262,Plata,Gonzalo Jordy Plata Jiménez,7,7,Plata,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,False
1,tiago-coser,CFC,109127,0,3,0,0,294,Tiago Cóser,Tiago Cóser,2,7,T. Cóser,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,False
1,kike-saverio,VIT,109138,0,5,0,0,287,Kike Saverio,Javier Enrique Delgado Saverio,5,6,K. Saverio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,False
1,rafael-carvalheira,CHA,109336,0,4,0,0,315,Rafael Carvalheira,Rafael dos Santos Carvalheira Natividade,4,7,R. Carvalheira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,False
1,erick-pulga,BAH,109401,0,5,0,0,265,Erick Pulga,Erick da Costa Farias,10,7,E. Pulga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,False
1,martinelli,FLU,109573,0,4,0,0,266,Martinelli,Matheus Martinelli Lima,9,7,Martinelli,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,False
1,monsalve,GRE,109966,0,4,0,0,284,Monsalve,Miguel Ángel Monsalve Gonzáles - González,5,6,Monsalve,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,False
1,jose-martinez,COR,110311,0,4,0,0,264,José Martínez,José Andrés Martínez Torres,6,6,J. Martínez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,0,False
1,bernabei,INT,110426,0,2,0,0,285,Bernabéi,Alexandro Ezequiel Bernabéi,11,7,Bernabéi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,False
1,abel-ferreira,PAL,110506,0,6,0,0,275,Abel Ferreira,Abel Fernando Moreira Ferreira,12,7,A. Ferreira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,False
1,aguirre,INT,110510,0,2,0,0,285,Aguirre,Braian Aguirre Nahuel,5,6,Aguirre,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,False
1,marino-hinestroza,VAS,110598,0,5,0,0,267,Marino Hinestroza,Marino Hinestroza Angulo,9,6,M. Hinestroza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,False
1,gustavo,CFC,110633,0,4,0,0,294,Gustavo,Gustavo Silva de Oliveira,4,6,Gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,False
1,esquivel,CAP,110668,0,2,0,0,293,Esquivel,Lucas Ángel Esquivel,4,6,Esquivel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,False
1,mycael,CAP,110698,0,1,0,0,293,Mycael,Mycael Pontes Moreira,5,6,Mycael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,False
1,pedro-rangel,CFC,110708,0,1,0,0,294,Pedro Rangel,Pedro Felipe de Faria Rangel,3,6,P. Rangel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,False
1,andres-hurtado,RBB,110715,0,2,0,0,280,Andrés Hurtado,José Andrés Hurtado Cheme,4,7,A. Hurtado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,gustavo-marques,RBB,110750,0,3,0,0,280,Gustavo Marques,Gustavo Marques Alves dos Santos,3,7,G. Marques,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,john-kennedy,FLU,110759,0,5,0,0,266,John Kennedy,John Kennedy Batista de Souza,6,7,J. Kennedy,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,False
1,biel,CAM,110760,0,5,0,0,282,Biel,Gabriel Teixeira Aragão,5,6,Biel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,False
1,alix-vinicius,RBB,111246,0,3,0,0,280,Alix Vinicius,Alix Vinicius de Souza Sampaio,6,7,A. Vinicius,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,mancha,CHA,111279,0,2,0,0,315,Mancha,Gianluca Piola Minozzo,3,5,Mancha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,False
1,gustavo-martins,GRE,111309,0,3,0,0,284,Gustavo Martins,Gustavo Martins de Souza Santos,6,7,G. Martins,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,False
1,victor-gabriel,INT,111466,0,3,0,0,285,Victor Gabriel,Victor Gabriel da Conceição Ribeiro,4,7,V. Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,False
